sample	Source Species	Serotype
18-012180-362	Cattle	"4,[5],12:i:-"
18-012180-363	Cattle	Typhimurium
18-012180-364	Cattle	"4,[5],12:i:-"
18-012180-370	Turkey	"4,[5],12:i:-"
18-012180-374	Horse	Typhimurium
18-012180-375	Cattle	Heidelberg
18-012180-377	Cattle	"4,[5],12:i:-"
18-012180-378	Chicken	"4,[5],12:i:-"
18-012180-379	Chicken	"4,[5],12:i:-"
18-012180-380	Horse	"4,[5],12:i:-"
18-012180-382	Sheep	Typhimurium
18-012180-383	Cattle	Typhimurium
18-012180-384	Cattle	Typhimurium
18-012180-385	Pig	Typhimurium
18-012180-386	Cattle	Heidelberg
18-012180-388	Horse	Typhimurium
18-012180-389	Pig	"4,[5],12:i:-"
18-012180-393	Cattle	Typhimurium
18-012180-397	Cattle	Heidelberg
18-012180-399	Cattle	Heidelberg
18-012180-401	Cattle	"4,[5],12:i:-"
18-012180-402	Cattle	Typhimurium
18-012180-404	Cattle	"4,[5],12:i:-"
18-012180-407	Pig	"4,[5],12:i:-"
18-012180-408	Turkey	Heidelberg
18-012180-411	Horse	Infantis
18-012180-414	Pig	Infantis
18-012180-415	Pig	Typhimurium
18-012180-417	Pig	Typhimurium
18-012180-418	Cattle	Typhimurium
18-012180-419	Cattle	Heidelberg
18-012180-420	Cattle	Heidelberg
18-012180-421	Chicken	Typhimurium
18-012180-422	Chicken	Typhimurium
18-012180-423	Horse	Infantis
18-012180-424	Pig	"4,[5],12:i:-"
18-012180-425	Cattle	"4,[5],12:i:-"
18-012180-427	Pig	"4,[5],12:i:-"
18-012180-428	Chicken	"4,[5],12:i:-"
18-012180-429	Cattle	Heidelberg
18-012180-430	Pig	Heidelberg
18-012180-432	Horse	"4,[5],12:i:-"
18-012180-433	Pig	"4,[5],12:i:-"
18-012180-434	Dog	Typhimurium
18-012180-436	Pig	"4,[5],12:i:-"
18-012180-440	Pig	Heidelberg
18-012180-445	Cattle	Heidelberg
18-012180-450	Cattle	Typhimurium
18-012180-457	Cattle	"4,[5],12:i:-"
18-012180-458	Cattle	Typhimurium
18-012180-461	Turkey	Typhimurium
18-012180-464	Dog	Typhimurium
18-012180-465	Duck	Typhimurium
18-012180-471	Pig	Typhimurium
18-012180-475	Cat	Infantis
18-012180-478	Cattle	Heidelberg
18-012180-480	Cattle	Heidelberg
18-012180-482	Cattle	Heidelberg
18-012180-484	Cattle	Heidelberg
18-012180-485	Chicken	Heidelberg
18-012180-486	Cattle	"4,[5],12:i:-"
18-012180-487	Cattle	Heidelberg
18-012180-488	Cattle	Heidelberg
18-012180-490	Chicken	Heidelberg
18-012180-492	Cat	Heidelberg
18-012180-494	Pig	"4,[5],12:i:-"
18-012180-496	Pig	Infantis
18-012180-498	Pig	"4,[5],12:i:-"
18-012180-499	Horse	Typhimurium
18-012180-501	Sheep	"4,[5],12:i:-"
18-012180-502	Horse	Typhimurium
18-012180-504	Pig	"4,[5],12:i:-"
18-012180-505	Cattle	Heidelberg
18-012180-506	Chicken	"4,[5],12:i:-"
18-012180-508	Pig	"4,[5],12:i:-"
18-012180-511	Pig	"4,[5],12:i:-"
18-012180-512	Cattle	Typhimurium
18-012180-515	Dog	Typhimurium
18-012180-517	Cattle	Typhimurium
18-012180-518	Chicken	"4,[5],12:i:-"
18-012180-519	Pig	Heidelberg
18-012180-521	Cattle	Heidelberg
18-012180-534	Cattle	"4,[5],12:i:-"
18-012180-535	Cattle	Heidelberg
18-012180-536	Chicken	Infantis
18-012180-537	Horse	"4,[5],12:i:-"
18-012180-538	Cattle	Infantis
18-012180-542	Pig	Heidelberg
18-012180-543	Pig	Typhimurium
18-012180-548	Cattle	Typhimurium
18-012180-551	Pig	Heidelberg
18-012180-552	Pig	Typhimurium
18-012180-553	Pig	Typhimurium
18-012180-554	Pig	Typhimurium
18-012180-559	Chicken	"4,[5],12:i:-"
18-012180-564	Dog	Typhimurium
18-012180-567	Turkey	"4,[5],12:i:-"
18-012180-571	Pig	Heidelberg
18-012180-572	Cattle	Heidelberg
18-012180-573	Pig	"4,[5],12:i:-"
18-012180-574	Cattle	Heidelberg
18-012180-577	Pig	Infantis
18-012180-579	Chicken	"4,[5],12:i:-"
18-012180-580	Chicken	Typhimurium
18-012180-581	Chicken	"4,[5],12:i:-"
18-012180-582	Pig	Typhimurium
18-012180-583	Cattle	"4,[5],12:i:-"
18-012180-585	Chicken	"4,[5],12:i:-"
18-012180-586	Pig	Heidelberg
18-012180-588	Cattle	Heidelberg
18-012180-589	Pig	"4,[5],12:i:-"
18-012180-596	Pig	"4,[5],12:i:-"
18-012180-598	Cattle	"4,[5],12:i:-"
18-012180-600	Horse	Typhimurium
18-012180-602	Horse	Typhimurium
18-012180-604	Horse	Typhimurium
18-012180-606	Cattle	Infantis
18-012180-607	Horse	Typhimurium
18-012180-609	Pig	"4,[5],12:i:-"
18-012180-610	Horse	Typhimurium
18-024125-001	Pig	Heidelberg
18-024125-002	Dog	Infantis
18-024125-004	Cattle	"4,[5],12:i:-"
18-024125-005	Chicken	Heidelberg
18-024125-009	Pig	Typhimurium
18-024125-010	Horse	Typhimurium
18-024125-026	Cattle	Typhimurium
18-024125-027	Cattle	Typhimurium
18-024125-028	Cattle	"4,[5],12:i:-"
18-024125-030	Cattle	Heidelberg
18-024125-034	Cattle	Heidelberg
18-024125-036	Cattle	Heidelberg
18-024125-039	Chicken	"4,[5],12:i:-"
18-024125-045	Pig	Typhimurium
18-024125-046	Pig	"4,[5],12:i:-"
18-024125-050	Pig	Typhimurium
18-024125-051	Pig	Typhimurium
18-024125-052	Cat	Typhimurium
18-024125-053	Cattle	Infantis
18-024125-057	Horse	Infantis
18-024125-059	Chicken	Typhimurium
18-024125-061	Dog	Heidelberg
18-024125-066	Chicken	Typhimurium
18-024125-069	Pig	Typhimurium
18-024125-073	Goat	Typhimurium
18-024125-077	Chicken	Typhimurium
18-024125-082	Cattle	Heidelberg
18-024125-084	Chicken	"4,[5],12:i:-"
18-024125-085	Pig	Heidelberg
18-024125-088	Pig	Typhimurium
18-024125-091	Horse	Typhimurium
18-024125-092	Dog	Heidelberg
18-024125-093	Pig	"4,[5],12:i:-"
18-024125-095	Pig	Heidelberg
18-024125-096	Pig	Infantis
18-024125-098	Pig	"4,[5],12:i:-"
18-024127-002	Pig	"4,[5],12:i:-"
18-024127-003	Pig	Heidelberg
18-024127-004	Pig	"4,[5],12:i:-"
18-024127-005	Pig	"4,[5],12:i:-"
18-024127-007	Chicken	Typhimurium
18-024127-008	Chicken	Typhimurium
18-024127-009	Pig	"4,[5],12:i:-"
18-024127-014	Cattle	Heidelberg
18-024127-015	Cattle	Typhimurium
18-024127-016	Horse	Typhimurium
18-024127-018	Horse	Typhimurium
18-024127-019	Chicken	Heidelberg
18-024127-023	Cattle	Heidelberg
18-024127-024	Pig	Heidelberg
18-024127-025	Dog	"4,[5],12:i:-"
18-024127-032	Dog	Heidelberg
18-024127-035	Cattle	Heidelberg
18-024127-043	Turkey	Typhimurium
18-024127-045	Cattle	Heidelberg
18-024127-047	Pig	"4,[5],12:i:-"
18-024127-050	Cattle	Heidelberg
18-024127-051	Cattle	Typhimurium
18-024127-052	Cattle	Heidelberg
18-024127-053	Cattle	Infantis
18-024127-057	Horse	Typhimurium
18-024127-058	Horse	Typhimurium
18-024127-059	Cattle	Typhimurium
18-024127-060	Pig	Typhimurium
18-024127-062	Cattle	Typhimurium
18-024127-064	Chicken	Heidelberg
18-024127-068	Chicken	Typhimurium
18-024127-069	Dog	Heidelberg
18-024127-074	Pig	Heidelberg
18-024127-075	Pig	"4,[5],12:i:-"
18-024127-079	Cattle	Heidelberg
18-024127-080	Pig	Infantis
18-024127-083	Cattle	"4,[5],12:i:-"
18-024127-085	Pig	Heidelberg
18-024127-087	Chicken	Infantis
18-024127-088	Dog	Typhimurium
18-024127-089	Cattle	Typhimurium
18-024127-092	Horse	Typhimurium
18-024127-093	Horse	Infantis
18-024127-098	Cattle	Heidelberg
18-024127-099	Pig	"4,[5],12:i:-"
18-024127-100	Cattle	Heidelberg
18-024128-003	Cattle	Typhimurium
18-024128-005	Pig	"4,[5],12:i:-"
18-024128-007	Cattle	Heidelberg
18-024128-009	Pig	"4,[5],12:i:-"
18-024128-010	Cattle	Heidelberg
18-024128-011	Cattle	Heidelberg
18-024128-012	Pig	"4,[5],12:i:-"
18-024128-015	Pig	Heidelberg
18-024128-017	Turkey	Typhimurium
18-024128-018	Cattle	Heidelberg
18-024128-020	Chicken	Typhimurium
18-024128-023	Cattle	Heidelberg
18-024128-024	Turkey	"4,[5],12:i:-"
18-024128-027	Turkey	Typhimurium
18-024128-030	Pig	"4,[5],12:i:-"
18-024128-031	Pig	"4,[5],12:i:-"
18-024128-032	Pig	Heidelberg
18-024128-036	Cattle	Heidelberg
18-024128-041	Cat	Typhimurium
18-024128-042	Chicken	Heidelberg
18-024128-043	Dog	Heidelberg
18-024128-049	Cattle	Typhimurium
18-024128-053	Pig	"4,[5],12:i:-"
18-024128-055	Pig	Typhimurium
18-024128-057	Pig	"4,[5],12:i:-"
18-024128-068	Dog	Typhimurium
18-024128-069	Cattle	Heidelberg
18-024128-071	Turkey	Heidelberg
18-024128-074	Pig	Infantis
18-024128-076	Chicken	Typhimurium
18-024128-077	Horse	Infantis
18-024128-079	Pig	"4,[5],12:i:-"
18-024128-081	Pig	Heidelberg
18-024128-082	Horse	Typhimurium
18-024128-083	Pig	"4,[5],12:i:-"
18-024128-084	Pig	"4,[5],12:i:-"
18-024128-086	Cattle	"4,[5],12:i:-"
18-024128-089	Pig	Typhimurium
18-024128-091	Cattle	Heidelberg
18-024128-092	Cattle	Heidelberg
18-024128-093	Pig	Typhimurium
18-024128-097	Cattle	Heidelberg
18-024128-100	Cattle	Heidelberg
18-024131-001	Dog	Infantis
18-024131-002	Cattle	Infantis
18-024131-003	Chicken	Infantis
18-024131-004	Pig	"4,[5],12:i:-"
18-024131-006	Pig	Typhimurium
18-024131-008	Pig	"4,[5],12:i:-"
18-024131-009	Pig	"4,[5],12:i:-"
18-024131-010	Horse	Typhimurium
18-024131-014	Cattle	Heidelberg
18-024131-016	Horse	"4,[5],12:i:-"
18-024131-019	Pig	"4,[5],12:i:-"
18-024131-021	Horse	Typhimurium
18-024131-022	Pig	"4,[5],12:i:-"
18-024131-027	Cattle	Infantis
18-024131-029	Horse	Infantis
18-024131-031	Cattle	Infantis
18-024131-032	Chicken	Infantis
18-024131-033	Pig	"4,[5],12:i:-"
18-024131-034	Pig	"4,[5],12:i:-"
18-024131-035	Cattle	Infantis
18-024131-040	Cattle	Heidelberg
18-024131-043	Pig	"4,[5],12:i:-"
18-024131-045	Pig	"4,[5],12:i:-"
18-024131-047	Cattle	Heidelberg
18-024131-049	Dog	"4,[5],12:i:-"
18-024131-050	Cattle	Infantis
18-024131-051	Cattle	Heidelberg
18-024131-053	Pig	"4,[5],12:i:-"
18-024131-054	Cat	"4,[5],12:i:-"
18-024131-055	Cattle	Typhimurium
18-024131-056	Cattle	Heidelberg
18-024131-059	Pig	"4,[5],12:i:-"
18-024131-063	Cattle	Heidelberg
18-024131-064	Cattle	Heidelberg
18-024131-065	Horse	"4,[5],12:i:-"
18-024131-067	Chicken	Heidelberg
18-024131-068	Horse	"4,[5],12:i:-"
18-024131-074	Cattle	Heidelberg
18-024131-075	Chicken	Heidelberg
18-024131-076	Pig	"4,[5],12:i:-"
18-024131-077	Pig	Typhimurium
18-024131-082	Cattle	"4,[5],12:i:-"
18-024131-083	Pig	Infantis
18-024131-088	Chicken	Typhimurium
18-024131-090	Sheep	Infantis
18-024131-091	Cattle	Infantis
18-024131-094	Cattle	"4,[5],12:i:-"
18-024131-095	Cattle	Heidelberg
18-024131-098	Chicken	"4,[5],12:i:-"
18-024131-099	Pig	Infantis
18-024131-100	Turkey	"4,[5],12:i:-"
18-038310-003	Cattle	Heidelberg
18-038310-004	Horse	Infantis
18-038310-014	Cattle	Heidelberg
18-038310-016	Pig	"4,[5],12:i:-"
18-038310-024	Cattle	"4,[5],12:i:-"
18-038310-025	Cattle	Heidelberg
18-038310-027	Pig	"4,[5],12:i:-"
18-038310-028	Chicken	Heidelberg
18-038310-030	Pig	Typhimurium
18-038310-031	Pig	"4,[5],12:i:-"
18-038310-033	Pig	Heidelberg
18-038310-036	Chicken	Typhimurium
18-038310-037	Pig	Heidelberg
18-038310-039	Duck	Heidelberg
18-038310-040	Pig	Heidelberg
18-038310-041	Pig	Infantis
18-038310-044	Cattle	Infantis
18-038310-045	Pig	Typhimurium
18-038310-046	Dog	Typhimurium
18-038310-050	Sheep	Typhimurium
18-038310-051	Horse	Infantis
18-038310-052	Cattle	Infantis
18-038310-055	Cattle	Heidelberg
18-038310-058	Chicken	Heidelberg
18-038310-060	Horse	Infantis
18-038310-063	Cattle	"4,[5],12:i:-"
18-038310-065	Cattle	Heidelberg
18-038310-067	Cattle	Typhimurium
18-038310-068	Cattle	Typhimurium
18-038310-071	Cattle	Heidelberg
18-038310-072	Pig	"4,[5],12:i:-"
18-038310-076	Cattle	"4,[5],12:i:-"
18-038310-077	Cattle	"4,[5],12:i:-"
18-038310-080	Chicken	Infantis
18-038873-002	Cattle	Heidelberg
18-038873-004	Chicken	Infantis
18-038873-005	Cattle	Heidelberg
18-038873-007	Chicken	Typhimurium
18-038873-009	Horse	"4,[5],12:i:-"
18-038873-010	Chicken	Infantis
18-038873-011	Goat	"4,[5],12:i:-"
18-038873-012	Cattle	Infantis
18-038873-013	Cattle	Infantis
18-038873-016	Cattle	Heidelberg
18-038873-019	Horse	Typhimurium
18-038873-020	Cattle	"4,[5],12:i:-"
